,desired_util_f,desired_queue_bound_multiplier,desired_queue_bound_alpha,name
0,0.499,1.5010000000000001,0.0,RoCC
1,0.0,3.5,,Copa
2,0.0,2.0,,BBR
3,1.0,inf,,AIMD
4,0.666,2.001,0.0,c_f[n][t] = 0alpha + 1S_f[n][t-1] + 0S_f[n][t-2] + 0S_f[n][t-3] + -1S_f[n][t-4]
5,0.499,1.5010000000000001,0.0,c_f[n][t] = 3/2alpha + 1S_f[n][t-1] + 0S_f[n][t-2] + -1S_f[n][t-3] + 0S_f[n][t-4]
6,0.799,3.001,0.0,c_f[n][t] = 0alpha + 3/2S_f[n][t-1] + -1/2S_f[n][t-2] + 1/2S_f[n][t-3] + -3/2S_f[n][t-4]
7,0.833,2.751,0.0,c_f[n][t] = 0alpha + 1S_f[n][t-1] + 1/2S_f[n][t-2] + 0S_f[n][t-3] + -3/2S_f[n][t-4]
8,0.749,2.501,0.0,c_f[n][t] = 2alpha + 1S_f[n][t-1] + 0S_f[n][t-2] + 1/2S_f[n][t-3] + -3/2S_f[n][t-4]
9,0.874,3.001,0.0,c_f[n][t] = 3/2alpha + 3/2S_f[n][t-1] + 0S_f[n][t-2] + 0S_f[n][t-3] + -3/2S_f[n][t-4]
10,0.666,2.501,0.0,c_f[n][t] = 3/2alpha + 1/2S_f[n][t-1] + 1S_f[n][t-2] + 0S_f[n][t-3] + -3/2S_f[n][t-4]
11,0.874,2.251,0.0,c_f[n][t] = 3/2alpha + 3/2S_f[n][t-1] + 0S_f[n][t-2] + -3/2S_f[n][t-3] + 0S_f[n][t-4]
12,0.55,2.001,0.0,c_f[n][t] = 1/2alpha + 1S_f[n][t-1] + 1/2S_f[n][t-2] + -3/2S_f[n][t-3] + 0S_f[n][t-4]
13,0.582,2.501,0.0,c_f[n][t] = 1/2alpha + 1S_f[n][t-1] + 1S_f[n][t-2] + -2S_f[n][t-3] + 0S_f[n][t-4]
14,0.811,2.501,0.0,c_f[n][t] = 1/2alpha + 1S_f[n][t-1] + 1/2S_f[n][t-2] + -1/2S_f[n][t-3] + -1S_f[n][t-4]
15,0.892,2.751,0.0,c_f[n][t] = 1alpha + 2S_f[n][t-1] + -1/2S_f[n][t-2] + -3/2S_f[n][t-3] + 0S_f[n][t-4]
16,0.811,2.501,0.0,c_f[n][t] = 1alpha + 2S_f[n][t-1] + -1S_f[n][t-2] + -1S_f[n][t-3] + 0S_f[n][t-4]
17,0.779,2.501,0.0,c_f[n][t] = 0alpha + 3/2S_f[n][t-1] + -1/2S_f[n][t-2] + 0S_f[n][t-3] + -1S_f[n][t-4]
18,0.599,1.7510000000000001,0.0,c_f[n][t] = 0alpha + 1S_f[n][t-1] + 0S_f[n][t-2] + -1/2S_f[n][t-3] + -1/2S_f[n][t-4]
19,1.0,3.001,0.0,c_f[n][t] = 1/2alpha + 2S_f[n][t-1] + -1/2S_f[n][t-2] + -1S_f[n][t-3] + -1/2S_f[n][t-4]
20,0.6900000000000001,2.001,0.0,c_f[n][t] = 1/2alpha + 3/2S_f[n][t-1] + -1/2S_f[n][t-2] + -1S_f[n][t-3] + 0S_f[n][t-4]
21,0.874,2.751,0.0,c_f[n][t] = 1/2alpha + 3/2S_f[n][t-1] + 1/2S_f[n][t-2] + -2S_f[n][t-3] + 0S_f[n][t-4]
22,0.974,3.001,0.0,c_f[n][t] = -1/2alpha + 2S_f[n][t-1] + 0S_f[n][t-2] + -2S_f[n][t-3] + 0S_f[n][t-4]
23,0.841,2.751,0.0,c_f[n][t] = 3/2alpha + 2S_f[n][t-1] + -1S_f[n][t-2] + -1/2S_f[n][t-3] + -1/2S_f[n][t-4]
24,0.666,3.001,0.0,c_f[n][t] = 2alpha + 1/2S_f[n][t-1] + 3/2S_f[n][t-2] + -1/2S_f[n][t-3] + -3/2S_f[n][t-4]
25,1.0,3.001,0.0,c_f[n][t] = 1alpha + 3/2S_f[n][t-1] + 1/2S_f[n][t-2] + -3/2S_f[n][t-3] + -1/2S_f[n][t-4]
26,0.874,2.751,0.0,c_f[n][t] = 1alpha + 3/2S_f[n][t-1] + 0S_f[n][t-2] + -1/2S_f[n][t-3] + -1S_f[n][t-4]
27,0.874,2.501,0.0,c_f[n][t] = 3/2alpha + 3/2S_f[n][t-1] + 0S_f[n][t-2] + -1S_f[n][t-3] + -1/2S_f[n][t-4]
28,0.785,2.251,0.0,c_f[n][t] = 1alpha + 3/2S_f[n][t-1] + -1/2S_f[n][t-2] + -1/2S_f[n][t-3] + -1/2S_f[n][t-4]
29,0.799,3.001,0.0,c_f[n][t] = 3/2alpha + 1/2S_f[n][t-1] + 1S_f[n][t-2] + 1/2S_f[n][t-3] + -2S_f[n][t-4]
30,0.749,3.001,0.0,c_f[n][t] = 2alpha + 1S_f[n][t-1] + 0S_f[n][t-2] + 1S_f[n][t-3] + -2S_f[n][t-4]
31,0.562,2.751,0.0,c_f[n][t] = 2alpha + 1/2S_f[n][t-1] + 3/2S_f[n][t-2] + -1S_f[n][t-3] + -1S_f[n][t-4]
32,1.0,3.001,0.0,c_f[n][t] = 0alpha + 1S_f[n][t-1] + 1S_f[n][t-2] + -1S_f[n][t-3] + -1S_f[n][t-4]
33,0.833,3.001,0.0,c_f[n][t] = 0alpha + 2S_f[n][t-1] + -1S_f[n][t-2] + 0S_f[n][t-3] + -1S_f[n][t-4]
34,0.749,2.251,0.0,c_f[n][t] = 0alpha + 1S_f[n][t-1] + 1/2S_f[n][t-2] + -1S_f[n][t-3] + -1/2S_f[n][t-4]
35,0.84,2.751,0.0,c_f[n][t] = 0alpha + 1S_f[n][t-1] + 1S_f[n][t-2] + -3/2S_f[n][t-3] + -1/2S_f[n][t-4]
